"Tukmakov, Vladimir B."
"Turov, Maxim"
"Ubilava, Elizbar"
"Uhlmann, Wolfgang"
"Ulibin, Mikhail"
"Unzicker, Wolfgang"
"Utasi, Tamas"
"Vachier-Lagrave, Maxime"
"Vadasz, Laszlo"
"Vaganian, Rafael A."
"Vaiser, Anatoly V."
"Vallejo Pons, Francisco"
"Valvo, Michael J."
"Van Den Doel, Erik"
"Van Der Sterren, Paul"
"Van Der Wiel, John T. H."
"Van Foreest, Jorden"
"Van Kampen, Robin"
"Van Wely, Loek"
"Vasiukov, Evgeni"
"Velimirovic, Dragoljub"
"Vescovi, Giovanni"
"Vidit, Santosh Gujrathi"
"Vitiugov, Nikita"
"Vladimirov, Boris T."
"Vladimirov, Evgeny"
"Vogt, Lothar"
"Volkov, Sergey"
"Volokitin, Andrei"
"Vovk, Andrey"
"Vuckovic, Bojan"
"Vukic, Milan"
"Vyzmanavin, Alexey"
"Wahls, Matthias"
"Wang, Hao"
"Wang, Yue"
"Wang, Zili"
"Watson, William N."
"Wedberg, Tom"
"Wei, Yi"
"Wilder, Michael"
"Wojtaszek, Radoslaw"
"Wojtkiewicz, Aleksander"
"Wolff, Patrick G."
"Wu, Wenjin"
"Xiong, Jeffery"
"Xu, Jun"
"Yakovich, Yuri"
"Yanofsky, Daniel A."
Ye Naung Win Myint
"Ye, Jiangchuan"
"Ye, Rongguang"
"Yermolinsky, Alex"
"Yrjola, Jouni"
"Yu, Yangyi"
"Yudasin, Leonid"
"Yudovich, Mikhail M."
"Yusupov, Artur"
"Zaitsev, Alexander"
"Zaitsev, Igor A."
"Zapata, Alonso"
"Zaw, Win Lay"
"Zhang, Pengxiang"
"Zhang, Zhong"
"Zheliandinov, Viktor"
"Zhidkov, Valery S."
"Zhigalko, Sergei"
"Zhou, Jianchao"
"Zhukhovitsky, Samuel"
"Zontakh, Andrey"
"Zuckerman, Bernard"
"Zvjaginsev, Vadim"
